timestamp,event_type,severity,user_id,session_id,ip_address,exchange,symbol,action,description,amount,currency,system_component,error_code
2025-06-21T00:09:40.021962+00:00,system_error,high,,1d059916-9df1-4f3a-aac4-1fa83fe354f6,,,,System Error Occurred,Error in Exchange connectivity: Failed to connect to Binance API,,,error_handler,ConnectionError
2025-06-21T00:09:40.021159+00:00,system_error,high,user_001,1d059916-9df1-4f3a-aac4-1fa83fe354f6,,,,System Error Occurred,Error in Parameter validation: Invalid trading parameter: price cannot be negative,,,error_handler,ValueError
2025-06-21T00:09:40.019672+00:00,api_request_failed,low,,1d059916-9df1-4f3a-aac4-1fa83fe354f6,,,,Api Request Failed,API request: DELETE /api/v1/cancel,,,system,
2025-06-21T00:09:40.018940+00:00,api_request_made,low,,1d059916-9df1-4f3a-aac4-1fa83fe354f6,,,,Api Request Made,API request: GET /api/v1/trades,,,system,
2025-06-21T00:09:40.018295+00:00,api_request_made,low,,1d059916-9df1-4f3a-aac4-1fa83fe354f6,,,,Api Request Made,API request: GET /api/v1/balance,,,system,
2025-06-21T00:09:40.017546+00:00,api_request_made,low,,1d059916-9df1-4f3a-aac4-1fa83fe354f6,,,,Api Request Made,API request: POST /api/v1/orders,,,system,
2025-06-21T00:09:40.016910+00:00,system_error,high,,1d059916-9df1-4f3a-aac4-1fa83fe354f6,,,,System Error,Database connection timeout,,,system,
2025-06-21T00:09:40.016056+00:00,service_started,low,,1d059916-9df1-4f3a-aac4-1fa83fe354f6,,,,Service Started,notification_service started successfully,,,system,
2025-06-21T00:09:40.015461+00:00,service_started,low,,1d059916-9df1-4f3a-aac4-1fa83fe354f6,,,,Service Started,risk_manager started successfully,,,system,
2025-06-21T00:09:40.014856+00:00,service_started,low,,1d059916-9df1-4f3a-aac4-1fa83fe354f6,,,,Service Started,price_monitor started successfully,,,system,
2025-06-21T00:09:40.014285+00:00,service_started,low,,1d059916-9df1-4f3a-aac4-1fa83fe354f6,,,,Service Started,trading_engine started successfully,,,system,
2025-06-21T00:09:40.013516+00:00,brute_force_attempt,critical,,1d059916-9df1-4f3a-aac4-1fa83fe354f6,attacker.network.com,,,Brute Force Attempt,Coordinated brute force attack detected,,,security_monitor,
2025-06-21T00:09:40.012549+00:00,suspicious_activity,high,,1d059916-9df1-4f3a-aac4-1fa83fe354f6,suspicious.ip.com,,,Suspicious Activity,Multiple failed login attempts from same IP,,,security_monitor,
2025-06-21T00:09:40.011454+00:00,access_denied,high,user_001,1d059916-9df1-4f3a-aac4-1fa83fe354f6,192.168.1.100,,,Failed access denied,Access event: access_denied,,,access_control,
2025-06-21T00:09:40.010923+00:00,user_login_failed,high,unknown_user,1d059916-9df1-4f3a-aac4-1fa83fe354f6,suspicious.ip.com,,,Failed user login failed,Access event: user_login_failed,,,access_control,
2025-06-21T00:09:40.010373+00:00,user_login_failed,high,unknown_user,1d059916-9df1-4f3a-aac4-1fa83fe354f6,suspicious.ip.com,,,Failed user login failed,Access event: user_login_failed,,,access_control,
2025-06-21T00:09:40.009732+00:00,user_login_failed,high,unknown_user,1d059916-9df1-4f3a-aac4-1fa83fe354f6,suspicious.ip.com,,,Failed user login failed,Access event: user_login_failed,,,access_control,
2025-06-21T00:09:40.009138+00:00,user_login_failed,high,unknown_user,1d059916-9df1-4f3a-aac4-1fa83fe354f6,suspicious.ip.com,,,Failed user login failed,Access event: user_login_failed,,,access_control,
2025-06-21T00:09:40.008410+00:00,user_login_failed,high,unknown_user,1d059916-9df1-4f3a-aac4-1fa83fe354f6,suspicious.ip.com,,,Failed user login failed,Access event: user_login_failed,,,access_control,
2025-06-21T00:09:40.007865+00:00,user_login_success,medium,trader_001,1d059916-9df1-4f3a-aac4-1fa83fe354f6,10.0.0.50,,,Successful user login success,Access event: user_login_success,,,access_control,
2025-06-21T00:09:40.007193+00:00,user_login_success,medium,trader_001,1d059916-9df1-4f3a-aac4-1fa83fe354f6,192.168.1.100,,,Successful user login success,Access event: user_login_success,,,access_control,
2025-06-21T00:09:40.006630+00:00,user_login_success,medium,user_001,1d059916-9df1-4f3a-aac4-1fa83fe354f6,10.0.0.50,,,Successful user login success,Access event: user_login_success,,,access_control,
2025-06-21T00:09:40.006066+00:00,api_key_created,low,,1d059916-9df1-4f3a-aac4-1fa83fe354f6,,,,Api Key Created,API key created for exchange,,,system,
2025-06-21T00:09:40.005470+00:00,config_changed,medium,admin_001,1d059916-9df1-4f3a-aac4-1fa83fe354f6,,,,Changed api_timeout,Configuration change: api_timeout,,,config_manager,
2025-06-21T00:09:40.004579+00:00,config_changed,medium,admin_001,1d059916-9df1-4f3a-aac4-1fa83fe354f6,,,,Changed risk_limit,Configuration change: risk_limit,,,config_manager,
