trade_id,symbol,side,status,strategy,reasoning,entry_timestamp,entry_price,entry_quantity,entry_commission,stop_loss_price,take_profit_price,realized_pnl,pnl_percentage,notes,exit_timestamp,exit_price,exit_quantity,exit_reason,exit_commission,holding_duration_hours,signal_type,signal_confidence,signal_strength
BTC/USDT_20250614_165055_b69de0f9,BTC/USDT,buy,closed,ai_prediction,"Strong ai_prediction signal detected with 67.0% confidence. RSI at 47.6, favorable risk/reward ratio.",2025-06-14T16:50:55.071875,31237.90910996257,0.009197781863204017,0.2873194738560293,29676.01365446444,33736.94183875958,20.292324964751973,7.062634736314497, | Closed due to manual,2025-06-14T16:50:55.178384,33508.875314085184,0.009197781863204017,manual,0.3082073256202575,2.9585833333333334e-05,ai_prediction_signal,0.6703350271078854,0.7492109978628541
ETH/USDT_20250614_165054_1378ec85,ETH/USDT,buy,closed,breakout,"Strong breakout signal detected with 72.7% confidence. RSI at 40.6, favorable risk/reward ratio.",2025-06-14T16:50:54.961793,3644.0789008023075,0.009421225204223563,0.034331687986417996,3461.874955762192,3935.6052128664924,-1.0712645050586243,-3.120337413885471, | Closed due to stop loss,2025-06-14T16:50:55.068394,3537.5529753452142,0.009421225204223563,stop_loss,0.03332808325259839,2.961138888888889e-05,breakout_signal,0.7271739593965325,0.9947657203189323
ETH/USDT_20250614_165054_3ed7f903,ETH/USDT,buy,closed,mean_reversion,"Strong mean_reversion signal detected with 75.2% confidence. RSI at 49.1, favorable risk/reward ratio.",2025-06-14T16:50:54.852831,2948.9714608093527,0.009169054549541346,0.027039280189201584,2801.522887768885,3184.889177674101,3.9108756792764066,14.463682656900959, | Closed due to take profit,2025-06-14T16:50:54.959377,3381.8321381423457,0.009169054549541346,take_profit,0.031008203352019214,2.959611111111111e-05,mean_reversion_signal,0.752056876306152,0.853381016357643
BTC/USDT_20250614_165054_ae8af397,BTC/USDT,sell,closed,mean_reversion,"Strong mean_reversion signal detected with 73.6% confidence. RSI at 41.3, favorable risk/reward ratio.",2025-06-14T16:50:54.743558,37296.19312430946,0.006891080449408902,0.2570110672763076,39161.002780524934,34312.497674364706,9.191697146057233,3.576381843578517, | Closed due to stop loss,2025-06-14T16:50:54.850563,35889.15349844292,0.006891080449408902,stop_loss,0.24731504401895515,2.9723611111111113e-05,mean_reversion_signal,0.7361666180111825,0.5415801786259546
ADA/USDT_20250614_165054_d7c7d6cb,ADA/USDT,sell,open,mean_reversion,"Strong mean_reversion signal detected with 60.3% confidence. RSI at 49.6, favorable risk/reward ratio.",2025-06-14T16:50:54.741689,2673.176202972519,0.007265537749026065,0.019422062612495003,2806.835013121145,2459.3221067347176,0.0,0.0,,,,,,,,mean_reversion_signal,0.602976188651163,0.6800987304026768
ADA/USDT_20250614_165054_294f5fa1,ADA/USDT,buy,closed,mean_reversion,"Strong mean_reversion signal detected with 70.5% confidence. RSI at 65.1, favorable risk/reward ratio.",2025-06-14T16:50:54.636267,2045.7303131935346,0.005810477606700089,0.011886670174158592,1943.4437975338578,2209.3887382490175,-0.7730962992051549,-6.503892914315503, | Closed due to stop loss,2025-06-14T16:50:54.738494,1916.6405751961256,0.005810477606700089,stop_loss,0.011136597142269866,2.839638888888889e-05,mean_reversion_signal,0.7045427928019525,0.6194213559437546
DOT/USDT_20250614_165054_4a665e08,DOT/USDT,sell,open,breakout,"Strong breakout signal detected with 86.5% confidence. RSI at 35.6, favorable risk/reward ratio.",2025-06-14T16:50:54.634456,3223.591301412519,0.00922221824752641,0.02972866252245394,3384.7708664831453,2965.7039972995176,0.0,0.0,,,,,,,,breakout_signal,0.8651728148875601,0.5253889142805083
ADA/USDT_20250614_165054_d26b17c7,ADA/USDT,sell,closed,momentum,"Strong momentum signal detected with 60.4% confidence. RSI at 39.0, favorable risk/reward ratio.",2025-06-14T16:50:54.524265,2893.9655721520803,0.008522812861108793,0.024664726997943816,3038.6638507596845,2662.448326379914,-1.0546446179359312,-4.275922527031628, | Closed due to take profit,2025-06-14T16:50:54.630979,3011.8035288752435,0.008522812861108793,take_profit,0.025669037851030772,2.964277777777778e-05,momentum_signal,0.6044360191522665,0.8105929743581863
BTC/USDT_20250614_165054_d413766b,BTC/USDT,buy,closed,breakout,"Strong breakout signal detected with 79.6% confidence. RSI at 68.5, favorable risk/reward ratio.",2025-06-14T16:50:54.416127,48545.27363848019,0.0048606931086424675,0.23596367703172352,46118.009956556176,52428.895529558606,25.897585749825588,10.975242493082465, | Closed due to take profit,2025-06-14T16:50:54.522267,53975.75616904135,0.0048606931086424675,take_profit,0.26235958604462545,2.9483333333333333e-05,breakout_signal,0.7964479064046999,0.865247752614529
ETH/USDT_20250614_165054_58b31c12,ETH/USDT,sell,closed,ai_prediction,"Strong ai_prediction signal detected with 87.8% confidence. RSI at 36.4, favorable risk/reward ratio.",2025-06-14T16:50:54.308339,3342.0607553843015,0.00199430857924895,0.006665100436834139,3509.1637931535165,3074.6958949535574,0.25147870810320117,3.773067045072935, | Closed due to signal reversal,2025-06-14T16:50:54.414371,3209.411090550646,0.00199430857924895,signal_reversal,0.006400556072221883,2.9453333333333335e-05,ai_prediction_signal,0.8778398853863394,0.655841351644494
DOT/USDT_20250614_165054_eeebbc49,DOT/USDT,buy,open,breakout,"Strong breakout signal detected with 91.6% confidence. RSI at 30.7, favorable risk/reward ratio.",2025-06-14T16:50:54.307023,2704.3442649457033,0.00921228426537642,0.024913188120120264,2569.127051698418,2920.69180614136,0.0,0.0,,,,,,,,breakout_signal,0.9156297112434091,0.9308342861940753
DOT/USDT_20250614_165054_df8c5bc0,DOT/USDT,buy,closed,breakout,"Strong breakout signal detected with 75.0% confidence. RSI at 57.8, favorable risk/reward ratio.",2025-06-14T16:50:54.198217,3341.649815284387,0.008501856602140794,0.02841022754411813,3174.5673245201674,3608.981800507138,-0.6723361581701744,-2.366528593007945, | Closed due to signal reversal,2025-06-14T16:50:54.305284,3269.179546289058,0.008501856602140794,signal_reversal,0.027794095709201275,2.974083333333333e-05,breakout_signal,0.7497120434257417,0.5257218934852691
